2021-02-16 12:55:27 *** Log File opened
2021-02-16 12:56:27 (3) PUT 401 BriansTests-Test_1-1.0.0-alpha; Unauthorized request
2021-02-16 13:05:20 *** Log File opened
2021-02-16 13:20:46 (3) PUT 200 BriansTests-Test_1-1.0.0-alpha
2021-02-16 13:21:19 (4) PUT 200 BriansTests-Test_1-1.0.0-alpha
2021-02-16 13:22:13 (5) PUT 200 BriansTests-Test_1-1.0.0-alpha
2021-02-16 13:41:55 (6) GET 200 /
2021-02-16 13:41:55 (7) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-02-16 13:41:56 (8) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-02-16 13:41:56 (9) GET 404 /does_not_exist; 
2021-02-16 13:41:56 (10) GET 200 /index.html
2021-02-16 13:41:56 (11) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-02-16 13:41:56 (12) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-02-16 13:41:57 (13) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-02-16 13:41:57 (14) GET 200 /aplteam-IniFiles-4.0.0
2021-02-16 13:41:57 (15) GET 200 /aplteam-OS-2.0.0
2021-02-16 13:41:58 (16) GET 200 /aplteam-Tester2-2.2.2
2021-02-16 13:41:58 (17) GET 200 /aplteam-WinSys-4.0.0
2021-02-16 13:41:59 (18) GET 200 /v1/packages/*?aggregate=1
2021-02-16 13:41:59 (19) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-02-16 13:41:59 (20) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-02-16 13:41:59 (21) GET 200 /v1/tags/
2021-02-16 13:41:59 (22) GET 200 /v1/packages/*?aggregate=1
2021-02-16 13:41:59 (23) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-02-16 13:42:00 (24) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-02-16 13:42:00 (25) GET 200 /v1/get-server-path
2021-02-16 13:42:00 (26) PUT 401 Example-Package_A-0.1.0-beta-2; Unauthorized request
2021-02-16 13:43:55 (27) GET 200 /v1/recompile-index
2021-02-16 13:44:25 (28) GET 200 /v1/get-server-path
2021-02-16 13:44:26 (29) PUT 401 Example-Package_A-0.1.0-beta-2; Unauthorized request
2021-02-16 13:44:33 (30) GET 200 /v1/recompile-index
2021-02-16 13:44:35 (31) GET 200 /v1/get-server-path
2021-02-16 13:44:35 (32) PUT 401 Example-Package_A-0.1.0; Unauthorized request
2021-02-16 13:45:43 *** Log File opened
2021-02-16 13:46:41 (3) GET 200 /
2021-02-16 13:46:41 (4) GET 404 /aplteam-DoesNotExist-1.9.2; 
2021-02-16 13:46:41 (5) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-02-16 13:46:41 (6) GET 404 /does_not_exist; 
2021-02-16 13:46:42 (7) GET 200 /index.html
2021-02-16 13:46:42 (8) GET 200 /v1/packages/dependencies/aplteam-FilesAndDirs-3.2.2
2021-02-16 13:46:42 (9) GET 200 /aplteam-FilesAndDirs-3.2.2
2021-02-16 13:46:42 (10) GET 200 /aplteam-APLTreeUtils-6.0.0
2021-02-16 13:46:43 (11) GET 200 /aplteam-IniFiles-4.0.0
2021-02-16 13:46:43 (12) GET 200 /aplteam-OS-2.0.0
2021-02-16 13:46:43 (13) GET 200 /aplteam-Tester2-2.2.2
2021-02-16 13:46:44 (14) GET 200 /aplteam-WinSys-4.0.0
2021-02-16 13:46:44 (15) GET 200 /v1/packages/*?aggregate=1
2021-02-16 13:46:44 (16) GET 200 /v1/packages/versions/aplteam-APLProcess-0.2
2021-02-16 13:46:44 (17) GET 200 /v1/packages/versions/aplteam-APLProcess-1.0
2021-02-16 13:46:44 (18) GET 200 /v1/tags/
2021-02-16 13:46:45 (19) GET 200 /v1/packages/*?aggregate=1
2021-02-16 13:46:45 (20) GET 200 /v1/packages/*?tags=winndow&aggregate=1
2021-02-16 13:46:45 (21) GET 200 /v1/packages/*?group=aplteam&tags=winndow&aggregate=1
2021-02-16 13:46:45 (22) GET 200 /v1/get-server-path
2021-02-16 13:46:46 (23) PUT 200 Example-Package_A-0.1.0-beta-2
2021-02-16 13:46:46 (24) GET 200 /v1/recompile-index
2021-02-16 13:46:46 (25) GET 200 /v1/get-server-path
2021-02-16 13:46:47 (26) PUT 200 Example-Package_A-0.1.0
2021-02-16 13:46:48 (27) GET 200 /v1/recompile-index
2021-02-16 13:46:48 (28) GET 200 /v1/get-server-path
2021-02-16 13:46:48 (29) PUT 200 Example-Package_A-0.1.0
2021-02-16 13:46:49 (30) GET 200 /v1/recompile-index
2021-02-16 13:46:49 (31) GET 200 /v1/get-server-path
2021-02-16 13:46:49 (32) PUT 200 Example-Package_A-0.1.0
2021-02-16 13:46:49 (33) PUT 400 Example-Package_A-0.1.0; The package has already been published
2021-02-16 13:46:50 (34) GET 200 /v1/recompile-index
